,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Vanimo,44,PG,1553440212,99,-2.67,141.3,83.27660000000004,17.627057981388692
1,Roebourne,92,AU,1553440594,88,-20.77,117.15,75.71659999999997,34.62777380100215
2,Rikitea,88,PF,1553440594,100,-23.12,-134.97,76.3466,16.508589835361487
3,Aklavik,40,CA,1553436000,78,68.22,-135.01,17.86999999999996,5.8160343593414465
4,Acapulco,5,MX,1553435040,69,16.86,-99.88,75.46999999999997,3.3554044380816035
5,Punta Arenas,40,CL,1553440389,62,-53.16,-70.91,55.274000000000015,23.040443808160347
6,Pangnirtung,80,CA,1553440596,92,66.15,-65.72,18.926600000000043,10.468861846814603
7,Atuona,64,PF,1553440502,100,-9.8,-139.03,82.37660000000005,17.06782390837509
8,Beaumont,1,US,1553440507,73,30.09,-94.1,72.26600000000002,11.40837508947745
9,Yellowknife,75,CA,1553440367,65,62.45,-114.38,9.266000000000009,13.869005010737295
10,Jamestown,12,AU,1553440462,72,-33.21,138.6,61.316599999999966,15.613815318539729
11,Ushuaia,20,AR,1553436000,76,-54.81,-68.31,52.069999999999965,5.8160343593414465
12,Qaanaaq,0,GL,1553440044,65,77.48,-69.36,-22.473400000000012,10.804402290622763
13,Marystown,64,CA,1553439681,100,47.17,-55.16,36.266000000000005,20.087687902648533
14,Hithadhoo,8,MV,1553440105,100,-0.6,73.08,85.16659999999996,9.126700071581961
15,Emba,75,CY,1553437800,54,34.81,32.42,62.86999999999996,16.1059413027917
16,Hermanus,48,ZA,1553440589,84,-34.42,19.24,75.27200000000005,2.9974946313528994
17,Faanui,64,PF,1553440069,98,-16.48,-151.75,85.3466,14.607193987115247
18,Cape Girardeau,90,US,1553440218,71,37.31,-89.52,57.272000000000034,8.05297065139585
19,Saskylakh,24,RU,1553440128,29,71.97,114.09,-20.223400000000012,2.9751252684323553
20,Along,36,IN,1553440168,85,28.17,94.8,56.90659999999998,1.968503937007874
21,Bluff,0,AU,1553440015,75,-23.58,149.07,74.90659999999998,7.6726914817466
22,Saint-Esteve,0,FR,1553440595,33,42.71,2.84,78.27799999999996,8.05297065139585
23,Broome,20,GB,1553440025,50,52.47,1.45,57.272000000000034,11.40837508947745
24,Sobolevo,0,RU,1553440604,55,54.43,31.9,43.58660000000002,16.73228346456693
25,Busselton,0,AU,1553440603,37,-33.64,115.35,57.272000000000034,20.535075161059414
26,Ayan,0,TR,1553440605,48,40.67,33.6,32.2466,7.56084466714388
27,Avarua,88,CK,1553437800,94,-21.21,-159.78,79.06999999999996,4.6975662133142455
28,Vaini,0,IN,1553440428,59,15.34,74.49,78.95659999999998,3.5343593414459558
29,Kodiak,90,US,1553440545,87,39.95,-94.76,52.26799999999999,4.6975662133142455
30,Hobart,75,AU,1553440455,72,-42.88,147.33,64.66999999999996,14.987473156764496
31,Nemuro,0,JP,1553440609,100,43.32,145.57,29.096600000000002,20.535075161059414
